appid,genres,is_free,name,release_date,reviews,sentiment_score,short_description,type
704850,"Action, Adventure, Indie, Simulation",False,Thief Simulator,"9 Nov, 2018",crashes like crazy. havent even played for an hour and its crashed and freezed about 10-15 times on hardware that runs well (over 120fps). Better story than Twillight. For the reduced price its peak. i stole an entire painting while the person that i stole it from could only watch,0.0,"Become the best thief. Gather intel, steal things and sell them to buy hi-tech equipment. Do everything that a real thief does.",game
1929610,"Action, Adventure, Indie",False,Demonologist,"25 Sep, 2023",This is  a great for people  who want  a more visually appealing Phasmophobia. I really enjoy Phasmophobia and wanted to give this game a try. The exorcisms when you complete all objectives are really cool too! So fun. did not shit myself/10,1.0,"Demonologist is a Co-Op horror game that can be played with at least 1 and up to 4 players. Your goal is to identify the type of evil spirit in cursed places and exorcise it using your equipment, either alone or with your team.",game
63380,Action,False,Sniper Elite V2,,"OG xray sniping, easy play Love the Sniper Elite collection. I play single player mode, the storyline, game play, and graphics are great. Sniper Elite collection is of my favorites!",1.0,"In the dark days of the end of World War Two amidst the ruins of Berlin, one bullet can change history…",game
8980,"Action, RPG",False,Borderlands Game of the Year,"31 Aug, 2023","This is a great co-op shooter for a group, with a wide variety of enemies, abilities, and weapon types. To level up your character, you need to collect everything you can get your hands on, which is also a plus. Unfortunately, the game has a very weak storyline and a lot of bugs. For example, I didn't see the weapon my teammate gave me. But the biggest drawback is that only one weapon drops from chests or bosses, and only one player on the team can take it, which is unfortunately very annoying.

My rating: ✭✭✭✭✰ Cool Classica <3",1.0,"Get ready for the mind blowing insanity! Play as one of four trigger-happy mercenaries and take out everything that stands in your way! With its addictive action, frantic first-person shooter combat, massive arsenal of weaponry, RPG elements and four-player co-op, Borderlands is a breakthrough experience that challenges all the...",game
509980,"Action, Adventure, Indie, Early Access",False,BIGFOOT,"31 Jan, 2017","Friend pelted a stop sign at my cranium 

10/10 its guuuddddddd Don't buy the game it hasn't gotten any updates in years",0.0,You are a Bigfoot hunter with an important mission: to put an end to rumours once and for all and prove to yourself that Bigfoot is not just a myth or an invention of the mind...,game
1491000,"Action, Simulation, Free To Play",True,War Robots: Frontiers,"4 Mar, 2025","good game with horrible advertising very fun
nicely paced
somewhat grindy good graphics good gameplay but the player base is a bit low but its overall fun with friends or family",1.0,"Gear up for tactical mech action in War Robots: Frontiers, a free-to-play multiplayer mech shooter. Construct and customize, squad up with Pilots online, and fire up your engines in massive intergalactic battles.",game
289070,Strategy,False,Sid Meier’s Civilization® VI,"20 Oct, 2016","probably played 9834759834759348 games

probably finished 2 Sometimes, you play a nice game with your boyfriend.  And then your alliance ends and he destroys you with nukes.  And then you throw everything off his desk and never play with him again.  Highly recommend! good game",1.0,"Expand your empire, advance your culture and go head-to-head against history’s greatest leaders. Will your civilization stand the test of time?",game
221100,"Action, Adventure, Massively Multiplayer",False,DayZ,"13 Dec, 2018",Best game with the best devs bad game. but fun ONE OF THE GREATEST GAME I HAVE EVER PLAYED,0.6,"How long can you survive a post-apocalyptic world? A land overrun with an infected &quot;zombie&quot; population, where you compete with other survivors for limited resources. Will you team up with strangers and stay strong together? Or play as a lone wolf to avoid betrayal? This is DayZ – this is your story.",game
1304930,"Action, Adventure, Indie",False,The Outlast Trials,"5 Mar, 2024","only regret is not getting this game earlier. Very fun with friends IA vtmnc very good horror game to play with friends, but if you have a weak stomach i wouldent recommend playing.",1.0,"Red Barrels invites you to experience mind-numbing terror, this time with friends. Whether you go through the trials alone or in teams, if you survive long enough and complete the therapy, Murkoff will happily let you leave… but will you be the same?",game
218620,"Action, RPG",False,PAYDAY 2,"13 Aug, 2013","Dopamine check Came for the soundtrack, stayed for the surprisingly fun gameplay.

Kinda BS how so much was licensed content though Payday 2 is the greatest and certainly the final good game in the Payday series. It's essentially just an extension of the first game, however the gameplay is so captivating that it's very difficult to just not sink into a ""two-week phase"" when you truly start playing this game. I wish Starbreeze would actually try and build off the success from this game, rather than just wing it with the abomination of a creation that rests in Payday 3.

My suggestion to people who are interested in playing Payday for the first time: Buy this game! It is unbelievably better than the first and third installments, and is by far the most entertaining cops and robbers game I've ever played with friends, matching the likes of GTA heists such as Diamond Casino and Cayo Perico.",1.0,"PAYDAY 2 is an action-packed, four-player co-op shooter that once again lets gamers don the masks of the original PAYDAY crew - Dallas, Hoxton, Wolf and Chains - as they descend on Washington DC for an epic crime spree.",game
470220,Casual,False,UNO,"Jan 3, 2017",YOU HAVE UNO IT CAME FREE WITH YOUR FUCKING XBOX i love this game so much i would buy it for all my friends Brilliant Game!,1.0,"UNO™ is the iconic card game reimagined with a large variety of gameplay and customization options. Play solo or with friends, personalize your experience from rules to cosmetics, and try the Happy Hour!",game
211820,"Action, Adventure, Casual, Indie, RPG",False,Starbound,"Jul 22, 2016","Is just not a fun game, the combat is super slow and bareboned, and even though the story might be good, all the elements around the gameplay to progress it, make it harsh to get into. This game is one of my favorites oat. I love exploring and I love anything to do with space! You can play the game chill or you can take more a more dangerous approach. There is a lot to explore and the storyline is genuinely interesting. I can commit war crimes on an intergalactic scale and use orphans as fuel, this is a great game",1.0,"You’ve fled your home, only to find yourself lost in space with a damaged ship. Your only option is to beam down to the planet below, repair your ship and set off to explore the universe...",game
346110,"アクション, アドベンチャー, インディー, MM（Massively Multiplayer）, RPG",False,ARK: Survival Evolved,2017年8月27日,"Ark survival evolved really pulled me into the survival genre alot, and the fact they put super advanced technologie with dinosaurs is great but whats not really going great is snail games and how they put quantity over quality and them getting greeedy but its still one of my favorite games. Every dollar I spent on this game and it's DLC's was a waste. If I got to keep the game the way it was, and not get scammed out of a free update, I might have something nice to say about the great memories and interesting people i had met playing this game....but greed ruined it all super fun exept toh ard to tame dinos
",1.0,"Stranded on the shores of a mysterious island, you must learn to survive. Use your cunning to kill or tame the primeval creatures roaming the land, and encounter other players to survive, dominate... and escape!",game
285800,"Adventure, Casual, Indie, RPG, Strategy",False,Braveland,"17 Mar, 2014","Did I get this for free? Quick combat-only heroes-style game. Pretty soft recommend but they regularly go on sale for about a dollar each. A fun small game with decent strategy involved but it doesnt go very deep, it is part of several other games in the same series, I recommend picking up the bundle at a good price.",1.0,Braveland is a turn-based game inspired by old-school strategies with hexagonal battlefield. You will start as a humble warrior's son whose village was cruelly raided and will end as talented commander of your army.,game
554620,"Action, Adventure",False,Life is Strange: Before the Storm,"31 Aug, 2017","Before the Storm may not be as strong as the original Life Is Strange in terms of gameplay or plot twists, but emotionally, it still works.

This prequel focuses less on choices and more on understanding Chloe's anger, her loneliness, and the way she clings to people when she’s afraid of losing them.

The three episodes felt short (plus episode Farewell if you buy DLC), but meaningful and yet still worked on me.

If the first Life Is Strange is about dealing with consequences, Before the Storm is about the pain that comes before them. Nobody ever reads my reviews, but i just wanna give this a thumbs up. There is no Turkish language in the game.",0.0,"Life is Strange: Before the Storm is a new three part standalone story adventure set three years before the events of the first game. This time play as Chloe Price, a rebel who forms an unlikely friendship with Rachel Amber in a dramatic new story in the BAFTA award winning franchise.",game
228380,"Action, Indie, Racing, Simulation, Sports",False,Wreckfest,"Jun 14, 2018","good game espacially if u like chaos and its really fun most of the time not much bugs
 nascar go brrr Love this game!",1.0,"Wreckfest is a demolition derby themed racing game with soft-body damage modeling, sophisticated driving dynamics and in-depth vehicle upgrading, featuring both demolition derbies and more traditional track races. It’s all about fun, breakneck racing and over-the-top crashes.",game
518790,"Adventure, Simulation, Sports",False,theHunter: Call of the Wild™,"16 Feb, 2017","fun WONDERFUL, This is the only game I have played that you can walk through a tree stump but not a small bush. Shoot through a tree to hit an animal but not a small bush. Crawl through a small bush to ambush something just to get eaten by a wolf. Have animals get stuck on a pebble while also being able to scale the side of a mountain at crazy speeds. 

All jokes aside, this is a fun game. Learning how skills and perks work together, and learning how to track an animal properly is interesting. The mechanics and how herd management works is awesome.

For the age of the game, the graphics are still stunning. I'll find myself just sitting at a lake watching nothing for minutes at a time.

The fact that the game is still being updated years after release is awesome as well. The devs are very interactive with the community and are always adding new stuff for us to mess with.

9/10 for sure.",1.0,"Discover an atmospheric hunting game like no other in this realistic, stunning open world – regularly updated in collaboration with the community. Immerse yourself in the single player campaign, or share the ultimate hunting experience with friends.",game
638070,"Action, Indie, Simulation, Strategy",False,Murderous Pursuits,"26 Apr, 2018","it's good but like nobody plays it it's old the game is good but the screen is not full and most of time play with AI not easy to join with rea; players Strict NAT type, prevents you from playing with other people or friends, tried the steps given by the devs but still not working. The game is pretty much dead since the day I bought it but should still be able to play with friends and bots but we cant even join a lobby together.",1.0,"Murderous Pursuits is a kill-or-be-killed Victorian stealth-em-up for 1-8 players in which you must hunt and kill your quarry before your hunters do the same to you, all while avoiding witnesses.",game
346010,"Indie, Simulation",False,Besiege,"18 Feb, 2020","absolutely peak game. if you're a battlebots fan, there's a lot for you here. you can play with up to like 8 people so it's super fun for parties (somehow) 这个游戏最核心的地方就是制定了建造的规则，然后把内容交给玩家自己，创造无限可能。我最爱在创意工坊下载各种大佬的作品然后进行研究和自主化改造了，很适合消磨时光，也很适合喜欢机械和创造的玩家。 Peak",1.0,"Besiege is a physics building game about constructing mechanical machines to annihilate armies, obliterate castles and overcome challenging obstacles. Conquer the campaign or skirmish with friends in Multiplayer!",game
640590,Action,False,The LEGO® NINJAGO® Movie Video Game,"22 Sep, 2017",love the game is gud its just so peak,1.0,"Find your inner ninja with the all-new LEGO NINJAGO Movie Video Game! Play as your favorite ninjas to defend Ninjago from the evil Lord Garmadon. Master the art of Ninjagility by wall-running and high-jumping, and battle foes to rank up and upgrade the ninja's combat skills.",game
629520,"Audio Production, Utilities",False,Soundpad,"30 Sep, 2017",i rate it bro I mainly just fuck around blasting songs with this device and being a nuisance but I've engaging in my tomfoolery. its fun playing sounds in games,1.0,"Play sounds in voice chats in high digital quality. Add sounds or music to your microphone signal so others will hear it, too.",game
222880,"Action, Indie, Strategy",False,Insurgency,"22 Jan, 2014","incridble gunplay  10 out of 10... 8 out of 10 movement.great graphics for its time...
 just and just i wish it had more players. Um dos melhores FPS's que já joguei Good game, good memories.",1.0,"Take to the streets for intense close quarters combat, where a team's survival depends upon securing crucial strongholds and destroying enemy supply in this multiplayer and cooperative Source Engine based experience.",game
55150,Action,False,"Warhammer 40,000: Space Marine - Anniversary Edition","5 Sep, 2011","Good Good game, a bit repetitive with the combat, but still fun! Enjoyed the story 4/10",1.0,"In Warhammer 40,000 Space Marine you are Captain Titus, a Space Marine of the Ultramarines chapter and a seasoned veteran of countless battles.",game
3910,Strategy,False,Sid Meier's Civilization® III Complete,"25 Oct, 2006","still to this day the best of all the civ's Civ 3 Complete was the last of the old style Civ.  It is just a game that I really enjoyed playing... Avoid this game at all costs, there's a very serious bug, whenever you load a save there's a very high possibility the music will be glitching all the time, and an even higher possibility that whenever your turn ends and the enemies' movements are shown, the game will just freeze. As you progress and more moves are visible, the game can freeze for many many minutes at the end of each turn.",1.0,"Sid Meier's Civilization III: Complete, the latest offering in the Sid Meier's Civilization III franchise, provides gaming fans with Sid Meier's Civilization III, the highly-addictive journey of discovery.",game
8500,"Action, Massively Multiplayer, RPG, Strategy, Free To Play",True,EVE Online,"15 Dec, 2010","they just feed new players to long time players...and YOU pay for it

its quite literally their entire business model. They even know and laugh about it in fact...

pretend otherwise. Then play and see for yourself. 
They will even fabricate a killright on you out of thin air (I experienced this and they did absolutely NOTHING to fix it) best game ever Choose life. I have children, they miss me.",1.0,"Over 20 years of legendary space battles! Explore a massive living universe of danger and opportunity in a challenging and highly rewarding space adventure. Fight, trade, build, and connect with a universe driven and shaped directly by players.",game
223750,"Simulation, Free To Play",True,DCS World Steam Edition,"2 Aug, 2013","goated game It's a really cool sim, but after so long I have to accept that it just isn't a good game. The recent spats between Eagle Dynamics and model developers is pretty concerning too. Hard to learn, impossible to master! Can be fun if you know what your doing; I clearly don't, but its very satisfying when you do something right!",1.0,Feel the excitement of flying the Su-25T &quot;Frogfoot&quot; attack jet and the TF-51D &quot;Mustang&quot; in the free-to-play Digital Combat Simulator World!,game
487220,"Casual, Indie",False,Freebie,"16 Jun, 2016","This game sucks donkey baawls [h2]Freebie[/h2]

Has a total of [b]7[/b] trading cards.
 Absolute gameplay",0.0,Freebie is a casual game where you launch a ball against a paddle and hit a green surface. Be careful not to hit the red surfaces or you'll lose a life!,game
1063730,"Action, Adventure, Massively Multiplayer, RPG",False,New World: Aeternum,"28 Sep, 2021",Just shut it down. never played this game lol Shame,0.0,Experience a thrilling action RPG set on the supernatural island of Aeternum. Forge your destiny on an adventure filled with danger and opportunity.,game
228200,"Action, Strategy",False,Company of Heroes,"11 Sep, 2006","You can shoot the medics Great WWII RTS good game, from the past until now",1.0,"Delivering a visceral WWII gaming experience, Company of Heroes redefines RTS by bringing the sacrifice of heroic soldiers, war-ravaged environments, and dynamic battlefields to life. Please visit the &quot;Company of Heroes - Legacy Edition&quot; page for additional user reviews.",game
17080,"Action, Free To Play",False,Tribes: Ascend,"27 Jun, 2012","I remember using the separate launcher away from Steam, and logging in so many hours into this game. It's a shell of its former self now, however, with the removal of classes, removed base upgrades, the credit equips, bizarre weapon rebalancing, and now the inability to make a new account. Despite the last bouts of updates, Hi-Rez seems to have already abandoned this game a while back to focus on their more recents projects like Smite and Paladins. One can only hope that either a new Tribes game or the upcoming title Midair can recapture that wonderful, extremely fast-paced action I experienced several years ago. Good game.
Shame its dead.
Few players.
Sometimes. Thsi game, which was made in 2012, is better than any FPS I've played in 2016-17!
A bit underpopulated, but that can change if you get it too!
11/10, FPS needs more skiing.",1.0,This edition packages weapon DLC from ten previous expansions as well new featured content.,game
594570,"Action, Strategy",False,Total War: WARHAMMER II,"28 Sep, 2017","Total War: Warhammer II is more than just “another chapter”. It feels more polished, better tuned, and deeper overall.

And yes, you can finally respec skill points if you made a mistake — which is a huge plus. really fun game to play, the only annoying part is the fac that you have to buy older titles and a bunch of dlc to balance the game but in general quite addictive and fun if you want to search for a game that you will invest hundreds of hours to master AMAZING GAME WORTH IT
",1.0,"Strategy gaming perfected. A breath-taking campaign of exploration, expansion and conquest across a fantasy world. Turn-based civilisation management and real-time epic strategy battles with thousands of troops and monsters at your command.",game
621060,"Indie, Simulation",False,PC Building Simulator,"29 Jan, 2019","Don't have $300+ dollars for RAM for that new build you had planned to buy parts for on Black Friday? Here's the next best thing! While the hardware included in this game shows it's age, it's actually a pretty decent practice tool for beginner builders like myself utilizing the Free Build mode. Gets you into the practice of installing parts in the proper order, and not forgetting that thermal paste. Interesting soundtrack... Very fun game I guess, However the RAM crisis isn't modeled yet Lasted about an hour before I uninstalled and refunded it because it started to feel like work instead of something fun and enjoyable.  The concept sounded neat, but 30 minutes in...you're juggling multiple jobs and using screenshots or a notepad to keep track of everything, you're told a machine needs a video card upgrade but doesn't tell you details so you waste money on parts that don't satisfy the upgrade requirement, customers give you hints about things they want that aren't part of the job and no details are given but you need to do it for better reviews to unlock more jobs, etc.  I got an in-game email about some sort of notepad type thing I could use on my ""computer""...but it's tedious running back and forth between your workspace and your computer trying to remember what's what.  I'm sure once you grind a bunch of jobs and open up more workspace, while googling for hints, it's a lot easier...but I don't like feeling like I'm at work while I'm trying to play a game.  They were so close to having a really neat timekiller of a game, but it fell a bit short and ends up becoming a headache.",1.0,"Build and grow your very own computer repair enterprise as you learn to diagnose, fix and build PCs. With real-world licensed components and comprehensive hardware and software simulation, you can plan and bring your ultimate PC to life.",game
219740,"Adventure, Indie, Simulation",False,Don't Starve,"Apr 23, 2013",Just don't starve. good vibes very fun when you can stay alive.. LOL,1.0,"Don’t Starve is an uncompromising wilderness survival game full of science and magic. Enter a strange and unexplored world full of strange creatures, dangers, and surprises. Gather resources to craft items and structures that match your survival style.",game
26800,"Casual, Indie, Strategy",False,Braid,"10 Apr, 2009","this game was an amazing brain game that was realy hard and fun, and wasnt like stupidly easy like some other games, i also liked the art and music alot so that was nice, if your into combat or fast shooters this isnt for u, but if u are into slow hard brain games this is amazing! 8.9/10 A classic platformer. The superb anti-Mario platformer. Fall off a cliff. Restart level? Nope, just rewind. Boing on some legally-distinct goombas and enjoy surprisingly emotive lore. The princess is not in this castle.",1.0,"This is the original version of Braid from 2009, which may not work well on newer systems. For an updated version of the game with nicer graphics, more levels and a large amount of developer commentary, see Braid, Anniversary Edition.",game
427520,"Casual, Indie, Simulation, Strategy",False,Factorio,"Aug 14, 2020","The gold standard for factory games.

Most of the challenge is in the 2D nature of the game. Other than short underground connections, you can't layer your logistics design. As more items join the production chain your base can quickly turn into spaghetti with conveyers everywhere.

What's most amazing is that when you win the game after 40 hours you'll feel compelled to play again and try to build a cleaner designed base. There's also plenty of challenging achievements for long time players.

If you're new to factory games, consider this a solid recommendation to start here. worth the pricetag. but it's a fairly steep learning curve so don't expect to hop in and find it easy. 
Though if you do like a game which requires a bit more thinking than clicking it's very rewarding I don't regret buying this game.",0.0,"Factorio is a game about building and creating automated factories to produce items of increasing complexity, within an infinite 2D world. Use your imagination to design your factory, combine simple elements into ingenious structures, and finally protect it from the creatures who don't really like you.",game
206420,"Action, Adventure",False,Saints Row IV: Re-Elected,"22 Aug, 2013","Its very good game peak game. 10/10 worth coming back for the 3$ sale 6/10, it could have been much better.

It's not as good as Saints Row The Third (my all-time favorite), but it's still a lot of fun. I can spend hours hitting cars to earn money while listening to an alien reciting poetry with an annoying journalist, or blowing eardrums with a Polka Gun, or even killing the police with a dildo sword or riding a velociraptor.

As I said, it's not as good as its predecessor, it's a little better than the spin-off in hell, but it has many flaws. The biggest problems are that the game's narrative is uninteresting, being inside a simulation breaks the immersion a lot, and having to constantly use a stupid portal ruins the rhythm. Also, being the same city for about 4 games is too much.

Saints Row 3 has an incredibly functional escalating story with multiple epic endings, but this one has a bad and funny ending, with no real consequences. Everyone is dead, the city is a lie, Earth has been destroyed, and you're in a stasis pod. It's simple, small, weak, and depressing.

In terms of gameplay, the powers you use all the time ruin much of the ""better than GTA"" fun I had with the third game. This, coupled with the glitch effects that constantly remind you that everything is fake, also contributes to the feeling.

Perhaps if there were a way to go back in time and reclaim the planet before the invasion, with more realistic means of travel and combat, it could be really fun.

In the end, the feeling of fun while playing ends with a sense of lost potential when the game is over. Some side missions with altered gameplay mechanics are cool, but we lose the old excitement of the missions, like the old Genki, to give way to a confusing and uninspired superpower arena.",0.8,"Experience the insane antics of Saints Row IV. The Saints have gone from the Penthouse to the White House - but Earth has been invaded and it’s up to you to save it with an arsenal of superpowers and strange weapons, in the wildest open world game ever.",game
337000,"Action, RPG",False,Deus Ex: Mankind Divided,"23 Aug, 2016","This review will probably be my indulgence, as I didn't get the Tablet Collector achievement, and because of this, I tried to fix it with the Debug Menu for Deus Ex: Mankind Divided, but I accidentally knocked out all the achievements I didn't have yet. I clicked the wrong button, and I don't know if the ""achievement hunter"" gods will forgive me. At least I completed Breach with flying colors, and the rest of the Deus Ex games did too. It was frustrating that the controller scheme doesn't work properly. Can't zoom on one scheme, can't get any response from R3 on the others, etc. But I kept it and worked around it. Played 20 hours and was having enough fun that navigating the ""world"" and poor shop menuing issues were trivial. Then right around  20 hours, it stopped saving. So at the 21 hour mark when I died, I lost a lot of sidequest and story prog. No point continuing to play if it isn't going to save. Probably won't get a refund. Should of just returned it when I saw the controller issues. Oh well. Playing Deus Ex MD with Rudy END gfx mod in 2025 is a must! Otherwise, this is DE:MD. You know what it is. 5/5 stars.",0.3333333333333333,"You play as Adam Jensen, an experienced covert operative operating in a world that despises his kind: augmented humans. Choose from an arsenal of state-of-the-art weapons and augmentations to build your playstyle, and decide who you'll trust, to unravel a vast worldwide conspiracy.",game
